province,collections,ebitda_or_sde,equipped_ops,sqft,appraised_value
ON,960072.0,367223.0,,1713.0,751660.0
ON,390941.0,131846.0,1.0,1000.0,546590.0
ON,1050000.0,268400.0,,2100.0,1325000.0
ON,1300000.0,805337.0,,,1200000.0
ON,454116.0,224196.0,2.0,1430.0,550000.0
ON,293664.0,145367.0,,1007.0,600000.0
ON,1935072.0,1165491.0,,,1959060.0
ON,1615488.0,602698.0,3.0,3010.0,2099000.0
ON,2262507.0,1216915.0,,,3250000.0
ON,1701779.0,852202.0,,1700.0,3000000.0
ON,,,,1628.0,550000.0
ON,1547899.0,769019.0,,,785000.0
ON,1349892.0,726992.0,,,2100000.0
ON,736070.0,,,1300.0,725000.0
ON,3570252.0,1513191.0,,,5200000.0
ON,1647565.0,708407.0,18.0,1800.0,1400000.0
ON,1663573.0,894673.0,,1605.0,2784270.0
ON,880512.0,477512.0,2.0,,1427470.0
ON,379970.0,130210.0,1.0,1445.0,500000.0
ON,730896.0,307951.0,,,1100000.0
ON,817776.0,348176.0,,1600.0,580250.0
ON,,200000.0,5.0,,1.25
ON,818892.0,183622.0,,,413640.0
ON,824508.0,511308.0,3.0,1300.0,1315000.0
ON,,,,1476.0,800000.0
ON,825132.0,527832.0,2.0,1250.0,1380000.0
ON,390580.0,,4.0,2300.0,350000.0
ON,855168.0,319389.0,,,960000.0
ON,1080948.0,592082.0,,,1100000.0
ON,852869.0,292473.0,,,899000.0
ON,,,,1721.0,1523000.0
ON,,,,1600.0,1598000.0
ON,,,5.0,1637.0,1926000.0
ON,,,,1725.0,2771000.0
AB,,,,,5850000.0
ON,,,,1943.0,2921000.0
ON,,,,1368.0,6579000.0
ON,,,1.0,,5986000.0
ON,,,,,2091000.0
ON,,,,1399.0,1387000.0
BC,,,,,289400.0
ON,,,,,665500.0
ON,,,,7200.0,2651000.0
MB,,,,1512.0,1050000.0
ON,,,,,232000.0
ON,,,,1600.0,849000.0
NL,,,,,653000.0
ON,,,,1500.0,2092000.0
ON,,729492.0,2.0,1450.0,1513012.0
ON,,,4.0,1450.0,2600000.0
ON,729492.0,729492.0,4.0,1852.0,1925000.0
ON,,500000.0,,2007.0,
ON,,1132979.0,4.0,1900.0,1513012.0
ON,,416416.0,2.0,866.0,484240.0
ON,,643186.0,3.0,1422.0,830848.0
ON,854027.0,854027.0,3.0,1477.0,2287680.0
ON,,554224.0,2.0,1040.0,807760.0
ON,,516474.0,3.0,800.0,741234.0
ON,,1195512.0,8.0,2900.0,2300000.0
ON,,,4.0,1378.0,1541101.0
ON,,,5.0,1700.0,1590000.0
ON,,1280277.0,7.0,3500.0,1896650.0
ON,,599742.0,3.0,888.0,591233.0
ON,,1252634.0,6.0,2000.0,867010.0
ON,,,5.0,1200.0,1265998.0
ON,,791494.0,3.0,1284.0,743970.0
ON,,2880000.0,6.0,1942.0,
ON,,1357087.0,,2079.0,1897130.0
ON,,1010000.0,3.0,2700.0,
ON,,690620.0,,1450.0,869905.0
ON,,1341486.0,5.0,2045.0,
ON,,,4.0,1624.0,1838907.0
ON,,,4.0,2098.0,2174861.0
ON,,807018.0,,1841.0,1219430.0
ON,,,4.0,1050.0,300000.0
ON,,,4.0,2000.0,1200000.0
ON,,,5.0,1225.0,1250000.0
