broker,title,url,province,asking_price,collections,ebitda_or_sde,equipped_ops,sqft,scraped_at,appraised_value
ROI,,https://roicorp.com/listings/5289/,ON,751660.0,960072.0,367223.0,,1713.0,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5290/,ON,546590.0,390941.0,131846.0,1.0,1000.0,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5287/,ON,1325000.0,1050000.0,268400.0,,2100.0,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5286/,ON,1200000.0,1300000.0,805337.0,,,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5249/,ON,550000.0,454116.0,224196.0,2.0,1430.0,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5279/,ON,600000.0,293664.0,145367.0,,1007.0,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5285/,ON,1959060.0,1935072.0,1165491.0,,,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5194/,ON,2099000.0,1615488.0,602698.0,3.0,3010.0,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5277/,ON,3250000.0,2262507.0,1216915.0,,,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5281/,ON,3000000.0,1701779.0,852202.0,,1700.0,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5270/,ON,550000.0,,,,1628.0,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5280/,ON,785000.0,1547899.0,769019.0,,,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5237/,ON,2100000.0,1349892.0,726992.0,,,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5261/,ON,725000.0,736070.0,,,1300.0,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5227/,ON,5200000.0,3570252.0,1513191.0,,,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5276/,ON,1400000.0,1647565.0,708407.0,18.0,1800.0,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5275/,ON,2784270.0,1663573.0,894673.0,,1605.0,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5272/,ON,1427470.0,880512.0,477512.0,2.0,,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5258/,ON,500000.0,379970.0,130210.0,1.0,1445.0,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5266/,ON,1100000.0,730896.0,307951.0,,,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5273/,ON,580250.0,817776.0,348176.0,,1600.0,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5269/,ON,1.25,,200000.0,5.0,,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5267/,ON,413640.0,818892.0,183622.0,,,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5206/,ON,1315000.0,824508.0,511308.0,3.0,1300.0,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5214-2/,ON,800000.0,,,,1476.0,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5265/,ON,1380000.0,825132.0,527832.0,2.0,1250.0,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5263/,ON,350000.0,390580.0,,4.0,2300.0,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5259/,ON,960000.0,855168.0,319389.0,,,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5257/,ON,1100000.0,1080948.0,592082.0,,,2025-10-26T07:36:16.446307+00:00,
ROI,,https://roicorp.com/listings/5201/,ON,899000.0,852869.0,292473.0,,,2025-10-26T07:36:16.446307+00:00,
TierThree,"KW-Prime Location, Prime Opportunity",https://tierthree.ca/listings/on4641/,ON,1523000.0,,,,1721.0,2025-10-26T07:37:11.437136+00:00,1523000.0
TierThree,Kanata GP Practice,https://tierthree.ca/listings/on4639/,ON,1598000.0,,,,1600.0,2025-10-26T07:37:11.437136+00:00,1598000.0
TierThree,Flourishing Orillia Area GP Practice,https://tierthree.ca/listings/on4636/,ON,1926000.0,,,5.0,1637.0,2025-10-26T07:37:11.437136+00:00,1926000.0
